,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutron irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To be neutron irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-ray irradiated,,,,,,,,,,,,,,,,Table to be used until diced,,,,,,"Currently all half moons at CERN are not diced, except the few used for X-ray campaign",,,,,,,,,,,,,
To be X-ray irradiated,,,,,,,,Full sensors,,,,,,,,Half moons (non-diced),,,,,, MOS+GCD,,Strip sensors,,Diodes (no p-stop),,,,,,PQC,,HPK structures,
Shipment to HPK week 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken/ sacrificed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor ID,Scratch pad ID,Thick- ness,P- Stop,Oxide type,Flat band volt. (V),P- Stop conc.,Proc.,Status in view of dicing frame removal,Current location,RINSC plan,Pre- irrad. test on DF,Pre- irrad. test off DF,Sent to RINSC?,RINSC irrad. round,Post irrad. test,UL,UR,LL,LR,Top,Bottom,"TS UL MOS, GCD","TS LR MOS, GCD",TS UR HGCAL mini Strip,TS LL Tracker like Strip (no p-stop split),TS UL Diodes (3 diodes),TS UR Diodes (2 diodes),TS UR Diodes (3 diodes),TS LL Diodes (2 diodes),TS LL Diodes (3 diodes),TS LR Diodes (3 diodes),TS UL PQC,TS LR PQC,TS Top,TS bottom
N4791_1,100088,300,com,A,-5,STD,FZ,removed from DF,CMU,,"Done, CERN","Done, CERN",CMU Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN->X-ray,CERN->Xray,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced,CERN -> sacrifced for MOS+GCD,CERN -> sacrificed for MOS+GCD,CERN,CERN
N4791_2,100089,300,com,A,-5,STD,FZ,removed from DF,CMU,,"Done, CERN","Done, CERN",CMU Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4791_3,100090,300,com,A,-5,STD,FZ,off DF,CMU,,,,CMU Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4791_4,100091,300,com,A,-5,STD,FZ,off DF,CMU,,,,CMU Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_1,100076,300,com,B,-2,STD,FZ,removed from DF,BROWN,RINSC 1.5E15,"Done, CERN","Done, CERN","sent, 29 Oct 21",1,,HPK,HPK,HPK,HPK,HPK,HPK,CERN->X-ray,CERN->Xray,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced,CERN -> sacrifced for MOS+GCD,CERN -> sacrificed for MOS+GCD,CERN,CERN
N4790_2,100077,300,com,B,-2,STD,FZ,removed from DF,BROWN,RINSC 2.0E15,"Done, CERN","Done, CERN","sent, 29 Oct 21",2,,HPK,HPK,HPK,HPK,HPK,HPK,HEPHY (scratch test),HEPHY (scratch test),CERN non-diced->HPK,CERN non-diced->HPK,HEPHY (scratch test),CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,HEPHY (scratch test),HEPHY (scratch test),HEPHY (scratch test),CERN,CERN
N4790_3,100078,300,com,B,-2,STD,FZ,removed from DF,CERN,RINSC 1.5E15,"Done, CERN","Done, CERN",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4790_4,100079,300,com,B,-2,STD,FZ,off DF,BROWN,RINSC 2.0E15,,,,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_5,100080,300,com,B,-2,STD,FZ,off DF,BROWN,non-irr. ref,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,HEPHY,CERN,CERN,CERN,to HEPHY,to HEPHY,CERN,HEPHY,HEPHY,HPK,CERN
N4790_6,100081,300,com,B,-2,STD,FZ,off DF,NTU,,,,NTU Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,HEPHY,CERN,CERN,CERN,to HEPHY,to HEPHY,CERN,HEPHY,HEPHY,HPK,CERN
N4791_6,100093,300,com,C,-2,STD,FZ,removed from DF,BROWN,RINSC 1.5E15,"Done, CERN","Done, CERN","sent, 29 Oct 21",1,,HPK,HPK,HPK,HPK,HPK,HPK,CERN->X-ray,CERN->Xray,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced,CERN -> sacrifced for MOS+GCD,CERN -> sacrificed for MOS+GCD,CERN,CERN
N4791_7,100094,300,com,C,-2,STD,FZ,removed from DF,BROWN,RINSC 2.0E15,"Done, CERN","Done, CERN","sent, 29 Oct 21",2,,HPK,HPK,HPK,HPK,HPK,HPK,HEPHY (scratch test),HEPHY (scratch test),CERN non-diced->HPK,CERN non-diced->HPK,HEPHY (scratch test),CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,HEPHY (scratch test),HEPHY (scratch test),HEPHY (scratch test),CERN,CERN
N4791_8,100095,300,com,C,-2,STD,FZ,removed from DF,CERN,RINSC 1.5E15,"Done, CERN","Done, CERN",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4791_9,100096,300,com,C,-2,STD,FZ,removed from DF,CERN,RINSC 2.0E15,"Done, CERN","Done, CERN",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4791_10,100097,300,com,C,-2,STD,FZ,off DF,BROWN,non-irr. ref,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4791_11,100098,300,com,C,-2,STD,FZ,off DF,BROWN,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN-> Ljubljana 1.5E15,CERN-> Ljubljana 1.5E15,CERN-> Ljubljana 1.5E15,CERN-> Ljubljana 1.5E15,CERN-> Ljubljana 1.5E15,CERN-> Ljubljana 1.5E15,HEPHY,HEPHY,HPK,CERN
N4791_12,100099,300,com,C,-2,STD,FZ,off DF,NTU,,,,NTU Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,HEPHY,HEPHY,HPK,CERN
N4791_13,100100,300,com,C,-2,STD,FZ,off DF,NTU,,,,NTU Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN-> Ljubljana 3.0E15,CERN-> Ljubljana 3.0E15,CERN-> Ljubljana 3.0E15,CERN-> Ljubljana 3.0E15,CERN-> Ljubljana 3.0E15,CERN-> Ljubljana 3.0E15,HEPHY,HEPHY,HPK,CERN
N4791_18,100105,300,ind,C,-2,STD,FZ,removed from DF,TTU,,-,"Done, CERN",TTU Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4791_19,100106,300,ind,C,-2,STD,FZ,removed from DF,TTU,,-,"Done, CERN",TTU Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4791_20,100107,300,ind,C,-2,STD,FZ,removed from DF,IHEP,,-,"Done, CERN",IHEP Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4791_21,100108,300,ind,C,-2,STD,FZ,removed from DF,IHEP,,-,"Done, CERN",IHEP Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4791_22,100109,300,ind,C,-2,STD,FZ,off DF,TTU,,,,TTU Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4791_23,100110,300,ind,C,-2,STD,FZ,off DF,IHEP,,,,IHEP Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4791_24,100111,300,ind,C,-2,STD,FZ,off DF,IHEP,,,,IHEP Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4791_25,100112,300,ind,C,-2,STD,FZ,off DF,IHEP,,,,IHEP Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_13,100082,300,com,D,-2,STD,FZ,removed from DF,BROWN,RINSC 1.5E15,"Done, CERN","Done, CERN",sent 29 Oct 21,1,,HPK,HPK,HPK,HPK,HPK,HPK,CERN->X-ray,CERN->Xray,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced,CERN -> sacrifced for MOS+GCD,CERN -> sacrificed for MOS+GCD,CERN,CERN
N4790_14,100083,300,com,D,-2,STD,FZ,removed from DF,BROWN,RINSC 2.0E15,"Done, CERN","Done, CERN",sent 29 Oct 21,2,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4790_15,100084,300,com,D,-2,STD,FZ,removed from DF,CERN,RINSC 1.5E15,"Done, CERN","Done, CERN",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4790_16,100085,300,com,D,-2,STD,FZ,off DF,BROWN,RINSC 2.0E15,-,"Done, CERN",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,HEPHY,CERN,CERN,CERN,to HEPHY,to HEPHY,CERN,HEPHY,HEPHY,HPK,CERN
N4790_17,100086,300,com,D,-2,STD,FZ,off DF,FSU,non-irr. ref,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,HEPHY,CERN,CERN,CERN,to HEPHY,to HEPHY,CERN,HEPHY,HEPHY,HPK,CERN
N4790_18,100087,300,com,D,-2,STD,FZ,off DF,BROWN,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,HEPHY,CERN,CERN,CERN,to HEPHY,to HEPHY,CERN,HEPHY,HEPHY,HPK,CERN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4792_2,200089,200,com,A,-5,STD,FZ,on DF,FSU,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_3,200089(90?),200,com,A,-5,STD,FZ,on DF,CERN,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4792_4,200089(91?),200,com,A,-5,STD,FZ,off DF,CERN,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_7,200075,200,com,B,-2,STD,FZ,on DF,FSU --> BROWN,RINSC 4.0E15,,"Done, FSU",,3,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4790_8,200076,200,com,B,-2,STD,FZ,off DF,FSU --> BROWN,RINSC 5.5E15,"Done, FSU","TBD, FSU",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4790_9,200077,200,com,B,-2,STD,FZ,off DF,FSU --> BROWN,RINSC 4.0E15,"Done, FSU","TBD, FSU",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4790_10,200078,200,com,B,-2,STD,FZ,off DF,CERN,RINSC 5.5E15,,"Done, CERN",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_11,200079,200,com,B,-2,STD,FZ,off DF,CERN,non.irr. ref.,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_12,200080,200,com,B,-2,STD,FZ,off DF,CERn,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4792_6,200092,200,com,C,-2,STD,FZ,removed from DF,FSU --> BROWN,RINSC 4.0E15,,"Done, FSU",,3,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_7,200093,200,com,C,-2,STD,FZ,removed from DF,FSU --> BROWN,RINSC 5.5E15,,,,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_8,200094,200,com,C,-2,STD,FZ,off DF,FSU --> BROWN,RINSC 4.0E15,"Done, FSU","TBD, FSU",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_9,200095,200,com,C,-2,STD,FZ,off DF,FSU --> BROWN,RINSC 5.5E15,"Done, FSU","TBD, FSU",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_10,200096,200,com,C,-2,STD,FZ,off DF,CERN,non.irr. ref.,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,CERN-> Ljubljana 2.0E15,HEPHY,HEPHY,HPK,CERN
N4792_11,200097,200,com,C,-2,STD,FZ,off DF,CERN,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN-> Ljubljana 4.0E15,CERN-> Ljubljana 4.0E15,CERN-> Ljubljana 4.0E15,CERN-> Ljubljana 4.0E15,CERN-> Ljubljana 4.0E15,CERN-> Ljubljana 4.0E15,HEPHY,HEPHY,HPK,CERN
N4792_12,200098,200,com,C,-2,STD,FZ,off DF,CERN,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN-> Ljubljana 5.5E15,CERN-> Ljubljana 5.5E15,CERN-> Ljubljana 5.5E15,CERN-> Ljubljana 5.5E15,CERN-> Ljubljana 5.5E15,CERN-> Ljubljana 5.5E15,HEPHY,HEPHY,HPK,CERN
N4792_13,200099,200,com,C,-2,STD,FZ,off DF,CERN,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4792_18,200104,200,ind,C,-2,STD,FZ,on DF,FSU,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_19,200105,200,ind,C,-2,STD,FZ,on DF,FSU,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_20,200106,200,ind,C,-2,STD,FZ,on DF,FSU --> BROWN,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_21,200107,200,ind,C,-2,STD,FZ,on DF,FSU --> BROWN,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_22,200108,200,ind,C,-2,STD,FZ,off DF,CERN,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4792_23,200109,200,ind,C,-2,STD,FZ,off DF,CERN,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4792_24,200110,200,ind,C,-2,STD,FZ,off DF,CERN,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_19,200081,200,com,D,-2,STD,FZ,on DF,FSU--> BROWN,RINSC 4.0E15,,"Done, FSU",,3,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4790_20,200082,200,com,D,-2,STD,FZ,off DF,FSU--> BROWN,RINSC 5.5E15,"Done, FSU","TBD, FSU",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4790_21,200083,200,com,D,-2,STD,FZ,off DF,FSU--> BROWN,RINSC 4.0E15,"Done, FSU","TBD, FSU",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4790_22,200084,200,com,D,-2,STD,FZ,off DF,CERN,RINSC 5.5E15,,"Done, CERN",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_23,200085,200,com,D,-2,STD,FZ,off DF,CERN,non.irr. ref.,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_24,200086,200,com,D,-2,STD,FZ,off DF,CERN,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_25,200087,200,com,D,-2,STD,FZ,off DF,CERN,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN